	Statement	Label	Primary_Evidence	Secondary_Evidence
8e262eec-2930-4881-894b-4fe2551dbb1c	1 patient in NCT01276041 died in an event not associated with a specifc CTCAE term.	Entailment	Adverse Events 1:  Total: 18/70 (25.71%)  Cardiac arrest  1/70 (1.43%)  Pericardial effusion  1/70 (1.43%)  Ear pain  1/70 (1.43%)  Blurred vision  1/70 (1.43%)  Eye disorders - Other, specify  2/70 (2.86%)  Abdominal Pain  5/70 (7.14%)  Colitis  1/70 (1.43%)  Diarrhea  2/70 (2.86%)  Nausea  2/70 (2.86%)  Death NOS  1/70 (1.43%)  Edema limbs  1/70 (1.43%)  Fatigue  3/70 (4.29%)	
062a0854-4979-4abe-8c91-002980c5ae0b	0 patients in NCT01276041 or NCT00688909 died.	Contradiction	Adverse Events 1:  Total: 18/70 (25.71%)  Cardiac arrest  1/70 (1.43%)  Pericardial effusion  1/70 (1.43%)  Ear pain  1/70 (1.43%)  Blurred vision  1/70 (1.43%)  Eye disorders - Other, specify  2/70 (2.86%)  Abdominal Pain  5/70 (7.14%)  Colitis  1/70 (1.43%)  Diarrhea  2/70 (2.86%)  Nausea  2/70 (2.86%)  Death NOS  1/70 (1.43%)  Edema limbs  1/70 (1.43%)  Fatigue  3/70 (4.29%)	Adverse Events 1:  Total: 5/261 (1.92%)  Cholecystitis chronic 1/261 (0.38%)  Post procedural bile leak 1/261 (0.38%)  Spinal column stenosis 1/261 (0.38%)  Depression 1/261 (0.38%)  Mania 1/261 (0.38%)  Pulmonary embolism 1/261 (0.38%)
f7098fb5-f80d-4564-87d3-067d5d643bb9	Patients in NCT00688909 and NCT00129376 did not suffer from any of the same adverse events.	Entailment	Adverse Events 1:  Total: 5/261 (1.92%)  Cholecystitis chronic 1/261 (0.38%)  Post procedural bile leak 1/261 (0.38%)  Spinal column stenosis 1/261 (0.38%)  Depression 1/261 (0.38%)  Mania 1/261 (0.38%)  Pulmonary embolism 1/261 (0.38%)	Adverse Events 1:  Total: 12/63 (19.05%)  Febrile neutropenia *  [1]4/63 (6.35%)  Congestive heart failure *  [2]1/63 (1.59%)  Cardiac-ischemia/infarction * 1/63 (1.59%)  Vomiting *  [1]1/63 (1.59%)  Acute Pharyngitis * 1/63 (1.59%)  Infection * 3/63 (4.76%)  Neutrophil count decreased *  [1]1/63 (1.59%)  Pneumonitis/pulmonary infiltrates *  [3]1/63 (1.59%)
9ea8ecf5-e774-49a0-90f5-f2edfdfb3913	Patients in both NCT00688909 and NCT00129376 suffered from Pulmonary embolisms.	Contradiction	Adverse Events 1:  Total: 5/261 (1.92%)  Cholecystitis chronic 1/261 (0.38%)  Post procedural bile leak 1/261 (0.38%)  Spinal column stenosis 1/261 (0.38%)  Depression 1/261 (0.38%)  Mania 1/261 (0.38%)  Pulmonary embolism 1/261 (0.38%)	Adverse Events 1:  Total: 12/63 (19.05%)  Febrile neutropenia *  [1]4/63 (6.35%)  Congestive heart failure *  [2]1/63 (1.59%)  Cardiac-ischemia/infarction * 1/63 (1.59%)  Vomiting *  [1]1/63 (1.59%)  Acute Pharyngitis * 1/63 (1.59%)  Infection * 3/63 (4.76%)  Neutrophil count decreased *  [1]1/63 (1.59%)  Pneumonitis/pulmonary infiltrates *  [3]1/63 (1.59%)
848b0ea7-4144-4eb3-a25e-486bc26a73a2	A single patient in NCT00129376 experienced a clinically significant inflammation of the back of the throat.	Entailment	Adverse Events 1:  Acute Pharyngitis * 1/63 (1.59%)	
63704d5f-9c67-4555-87b9-d050cf764362	More than 2% of patients in NCT00129376 experienced a clinically significant inflammation of the back of the throat.	Contradiction	Adverse Events 1:  Acute Pharyngitis * 1/63 (1.59%)	
0f4e665c-f5ac-4b69-97d2-dbd27eec127a	Women of any age can participate in NCT01783444.	Entailment	Key Inclusion Criteria:  - Women with locally advanced, recurrent, or metastatic breast cancer along with confirmation of estrogen-receptor positive (ER+). Measurable disease defined as at least one lesion  10 mm by CT or MRI that can be accurately measured in at least one dimension (CT scan slice thickness  5 mm) OR  Bone lesions: lytic or mixed (lytic + blastic) in the absence of measurable disease as defined above.  Key Exclusion Criteria:  - Patients who received more than one chemotherapy line. Patients with only non-measurable lesions other than lytic or mixed (lytic and blastic) bone metastasis.Previous treatment with exemestane, mTOR inhibitors, PI3K inhibitors or AKT inhibitors.	
e3cc3dcf-4d74-4144-aa84-3e47602ed0ad	Women of any age can participate in NCT01783444 or NCT03136367.	Contradiction	Key Inclusion Criteria:  - Women with locally advanced, recurrent, or metastatic breast cancer along with confirmation of estrogen-receptor positive (ER+). Measurable disease defined as at least one lesion  10 mm by CT or MRI that can be accurately measured in at least one dimension (CT scan slice thickness  5 mm) OR  Bone lesions: lytic or mixed (lytic + blastic) in the absence of measurable disease as defined above.  Key Exclusion Criteria:  - Patients who received more than one chemotherapy line. Patients with only non-measurable lesions other than lytic or mixed (lytic and blastic) bone metastasis.Previous treatment with exemestane, mTOR inhibitors, PI3K inhibitors or AKT inhibitors.	Inclusion Criteria:  Assigned female at birth;  18 years and older;
baa2fecd-d262-4e54-b19b-a1db7628cde2	Only patients which have been assigned as female at birth are eligible for NCT00129935 and NCT03136367.	Entailment	Inclusion Criteria:  Assigned female at birth;Exclusion Criteria:  Transgender men and women;	Exclusion Criteria:Males.
f35525f6-ff17-46a5-b9c5-5a7fe3b74bbc	Only patients who identify as female are eligible for NCT00129935 and NCT03136367.	Contradiction	Inclusion Criteria:  Assigned female at birth;Exclusion Criteria:  Transgender men and women;	Exclusion Criteria:Males.
1e7eadbb-0bcc-4350-8778-9d4cb2ced5ac	There were more cases of embolisms in cohort 2 of NCT00129935 than cohort 1.	Entailment	Adverse Events 1:  Total: 111/669 (16.59%)  Leukocytes *  [1]1/669 (0.15%)  Hemoglobin *  [1]1/669 (0.15%)  Hemoglobin *  [2]0/669 (0.00%)  CNS cerebrovascular ischemia *  [1]0/669 (0.00%)  CNS cerebrovascular ischemia *  [3]0/669 (0.00%)  Heart Failure *  [1]3/669 (0.45%)  Thrombosis/embolism *  [1]1/669 (0.15%)  Thrombosis/embolism *  [3]0/669 (0.00%)Adverse Events 2:  Total: 138/715 (19.30%)  Leukocytes *  [1]0/715 (0.00%)  Hemoglobin *  [1]0/715 (0.00%)  Hemoglobin *  [2]1/715 (0.14%)  CNS cerebrovascular ischemia *  [1]1/715 (0.14%)  CNS cerebrovascular ischemia *  [3]1/715 (0.14%)  Heart Failure *  [1]1/715 (0.14%)  Thrombosis/embolism *  [1]3/715 (0.42%)  Thrombosis/embolism *  [3]2/715 (0.28%)	
ed0ee466-f01c-4c0f-86e6-c7140892fa2b	There were 80% more cases of embolisms in cohort 2 of NCT00129935 than cohort 1.	Contradiction	Adverse Events 1:  Total: 111/669 (16.59%)  Leukocytes *  [1]1/669 (0.15%)  Hemoglobin *  [1]1/669 (0.15%)  Hemoglobin *  [2]0/669 (0.00%)  CNS cerebrovascular ischemia *  [1]0/669 (0.00%)  CNS cerebrovascular ischemia *  [3]0/669 (0.00%)  Heart Failure *  [1]3/669 (0.45%)  Thrombosis/embolism *  [1]1/669 (0.15%)  Thrombosis/embolism *  [3]0/669 (0.00%)Adverse Events 2:  Total: 138/715 (19.30%)  Leukocytes *  [1]0/715 (0.00%)  Hemoglobin *  [1]0/715 (0.00%)  Hemoglobin *  [2]1/715 (0.14%)  CNS cerebrovascular ischemia *  [1]1/715 (0.14%)  CNS cerebrovascular ischemia *  [3]1/715 (0.14%)  Heart Failure *  [1]1/715 (0.14%)  Thrombosis/embolism *  [1]3/715 (0.42%)  Thrombosis/embolism *  [3]2/715 (0.28%)	
048d284a-4e75-4005-bcae-52db7a25502c	The overall most frequent adverse event in NCT00930930 was Dehydration.	Entailment	Adverse Events 1:  Total: 22/96 (22.92%)  Anemia 1/96 (1.04%)  lymphopenia 1/96 (1.04%)  cardiac ischemia/infarction 1/96 (1.04%)  sinus tachycardia 2/96 (2.08%)  Dehydration 5/96 (5.21%)  colitis 1/96 (1.04%)  diarrhea 5/96 (5.21%)  ileus 1/96 (1.04%)  nausea 2/96 (2.08%)  vomiting 1/96 (1.04%)  distal small bowel obstruction 1/96 (1.04%)  edema 1/96 (1.04%)  fatigue 2/96 (2.08%)Adverse Events 2:  Total: 6/49 (12.24%)  Anemia 0/49 (0.00%)  lymphopenia 0/49 (0.00%)  cardiac ischemia/infarction 0/49 (0.00%)  sinus tachycardia 0/49 (0.00%)  Dehydration 1/49 (2.04%)  colitis 0/49 (0.00%)  diarrhea 0/49 (0.00%)  ileus 0/49 (0.00%)  nausea 1/49 (2.04%)  vomiting 1/49 (2.04%)  distal small bowel obstruction 0/49 (0.00%)  edema 0/49 (0.00%)  fatigue 0/49 (0.00%)	
30f8993d-849d-45f6-867d-0f1b5884403a	The most frequent adverse event in cohort 1 of NCT00930930 was lymphopenia.	Contradiction	Adverse Events 1:  Total: 22/96 (22.92%)  Anemia 1/96 (1.04%)  lymphopenia 1/96 (1.04%)  cardiac ischemia/infarction 1/96 (1.04%)  sinus tachycardia 2/96 (2.08%)  Dehydration 5/96 (5.21%)  colitis 1/96 (1.04%)  diarrhea 5/96 (5.21%)  ileus 1/96 (1.04%)  nausea 2/96 (2.08%)  vomiting 1/96 (1.04%)  distal small bowel obstruction 1/96 (1.04%)  edema 1/96 (1.04%)  fatigue 2/96 (2.08%)Adverse Events 2:  Total: 6/49 (12.24%)  Anemia 0/49 (0.00%)  lymphopenia 0/49 (0.00%)  cardiac ischemia/infarction 0/49 (0.00%)  sinus tachycardia 0/49 (0.00%)  Dehydration 1/49 (2.04%)  colitis 0/49 (0.00%)  diarrhea 0/49 (0.00%)  ileus 0/49 (0.00%)  nausea 1/49 (2.04%)  vomiting 1/49 (2.04%)  distal small bowel obstruction 0/49 (0.00%)  edema 0/49 (0.00%)  fatigue 0/49 (0.00%)	
0685ec0c-2d37-4eeb-a96b-ad859f3f0fa9	NCT01989676 only records cardiovasuclar adverse events.	Entailment	Adverse Events 1:  Total: 67/349 (19.20%)  Anaemia * 3/349 (0.86%)  Leukopenia * 1/349 (0.29%)  Neutropenia * 3/349 (0.86%)  Thrombocytopenia * 1/349 (0.29%)  Atrial fibrillation * 2/349 (0.57%)  Cardiac arrest * 1/349 (0.29%)  Cardiac failure * 0/349 (0.00%)  Cardiac failure acute * 0/349 (0.00%)  Cardio-respiratory arrest * 2/349 (0.57%)  Cardiovascular insufficiency * 0/349 (0.00%)	
2eeb1181-f015-4bb1-8a84-5d8e86e65c3a	NCT01989676 only records GI adverse events.	Contradiction	Adverse Events 1:  Total: 67/349 (19.20%)  Anaemia * 3/349 (0.86%)  Leukopenia * 1/349 (0.29%)  Neutropenia * 3/349 (0.86%)  Thrombocytopenia * 1/349 (0.29%)  Atrial fibrillation * 2/349 (0.57%)  Cardiac arrest * 1/349 (0.29%)  Cardiac failure * 0/349 (0.00%)  Cardiac failure acute * 0/349 (0.00%)  Cardio-respiratory arrest * 2/349 (0.57%)  Cardiovascular insufficiency * 0/349 (0.00%)	
83835835-e54f-4062-b60b-2de723fdd069	Patients prescribed with bisoprolol or labetalol to treat atrial fibrillation are excluded from NCT00821886.	Entailment	Exclusion Criteria:  current use of medications (e.g., digitalis, beta-blockers, calcium channel-blockers) that alter cardiac conduction, if these medications are administered for the management of cardiac arrhythmia, angina, or CHF. If these medications are administered for other reasons (e.g., hypertension), the patient may be eligible.	
b9d147ac-6320-4b0a-84f4-fbe5a83ec182	Patients prescribed with bisoprolol or labetalol to treat CHF are eligible for NCT00821886.	Contradiction	Exclusion Criteria:  current use of medications (e.g., digitalis, beta-blockers, calcium channel-blockers) that alter cardiac conduction, if these medications are administered for the management of cardiac arrhythmia, angina, or CHF. If these medications are administered for other reasons (e.g., hypertension), the patient may be eligible.	
ad66f8b0-586e-474e-9231-fbe4392f529d	HIV+ Patients are excluded from both NCT00458237 and NCT00880464.	Entailment	Exclusion Criteria:  Evidence of HIV infection	Exclusion Criteria:  HIV positive patients
373dc849-e47d-4d22-bb85-8c72b4fbe319	Patients with AIDS are eligible for both NCT00458237 and NCT00880464.	Contradiction	Exclusion Criteria:  Evidence of HIV infection	Exclusion Criteria:  HIV positive patients
00e1a365-9a8b-4628-a822-c0fe753a5a67	Patient who have recently undergone External beam radiation therapy are eligible for NCT00458237.	Entailment	Inclusion Criteria:  Patients may have received prior radiation therapy	
aab1aa24-adf0-443c-b817-3a715288efcd	Patient who have undergone External beam radiation therapy and major surgery in the last two weeks are eligible for NCT00458237.	Contradiction	Inclusion Criteria:  Patients may have received prior radiation therapyExclusion Criteria:  Major surgery within 2 weeks before study entry	
7c730740-419f-4407-849c-d40f319a0114	Patients with a Karnofsky status of 94% are eligible for NCT00295867.	Entailment	  Exclusion Criteria  Karnofsky Performance status < 90%.	
2f76e6c7-a752-4499-a021-664887563a20	Patients with an ECOG score between 3-5 are eligible for NCT00295867.	Contradiction	Inclusion Criteria  Women > 18 years of age with histologically or cytologically confirmed stage I, II or III breast cancer.  If adjuvant chemotherapy is recommended, it must be completed before study start.  Bone marrow aspirate positive by IC/FC assay  a. Definition of positive: > 4 MM/ml b. Timing of bone marrow aspiration to determine study eligibility: i. If patient is to receive either no adjuvant therapy or hormonal therapy alone, the aspiration may be performed at diagnosis as part of the large MM study at University of California, San Francisco, or following diagnosis if the patient received initial surgery elsewhere. This is also true for patients who have surgery following neoadjuvant therapy for breast cancer.  ii. If the patient is to receive adjuvant chemotherapy, the aspiration will be performed at least three weeks after chemotherapy has been completed.  Adequate renal function as defined by:  a. Creatinine must be < upper limit of normal  Normal liver function tests including total bilirubin, alkaline phosphatase, and aspartate aminotransferase (AST) / serum glutamic-oxaloacetic transaminase (SGOT)  Ability to understand and sign informed consent.  Concomitant hormonal therapy is allowed  Concomitant radiation therapy is allowed  Patients who have had surgery following neoadjuvant chemotherapy or hormonal therapy are eligible to participate in this trial  Exclusion Criteria  History of allergy to bisphosphonates. Acute phase reactions occur in up to 24% of patients and disappear with subsequent dosing. An acute phase reaction does not qualify as an allergic reaction.  History of renal insufficiency. Renal insufficiency is defined by a serum creatinine greater than the upper limit of normal or a creatinine clearance < 50 mL/min due to any underlying cause.  Karnofsky Performance status < 90%.  Any significant medical condition that might interfere with treatment.  Women participating in this study are not allowed to receive other bisphosphonate therapy during the study period, either oral or intravenous.  Patients who are pregnant	
7e25918c-1d87-493c-86e7-01344cd2dbc7	Cohort one of NCT00014222 reported 2/680 patients experiecing eye-related adverse events, whereas cohort two recorded none.	Entailment	Adverse Events 1:  Total: 83/680 (12.21%)  Hemoglobin 11/680 (1.62%)  Transfusion: Platelets 0/680 (0.00%)  Transfusion: pRBCs 0/680 (0.00%)  Febrile neutropenia 49/680 (7.21%)  Edema 1/680 (0.15%)  Ischemia/infarction 0/680 (0.00%)  Palpitations 0/680 (0.00%)  Pericardial effusion 0/680 (0.00%)  Keratitis 1/680 (0.15%)  Double vision 1/680 (0.15%)  Colitis 1/680 (0.15%)Adverse Events 2:  Total: 86/688 (12.50%)  Hemoglobin 15/688 (2.18%)  Transfusion: Platelets 1/688 (0.15%)  Transfusion: pRBCs 1/688 (0.15%)  Febrile neutropenia 41/688 (5.96%)  Edema 0/688 (0.00%)  Ischemia/infarction 0/688 (0.00%)  Palpitations 1/688 (0.15%)  Pericardial effusion 1/688 (0.15%)  Keratitis 0/688 (0.00%)  Double vision 0/688 (0.00%)  Colitis 0/688 (0.00%)	
4026f0bc-9b04-4912-849d-067a6c49b36f	Cohort one of NCT00014222 reported 2/680 patients experiecing eye-related adverse events, whereas cohort two recorded 41.	Contradiction	Adverse Events 1:  Total: 83/680 (12.21%)  Hemoglobin 11/680 (1.62%)  Transfusion: Platelets 0/680 (0.00%)  Transfusion: pRBCs 0/680 (0.00%)  Febrile neutropenia 49/680 (7.21%)  Edema 1/680 (0.15%)  Ischemia/infarction 0/680 (0.00%)  Palpitations 0/680 (0.00%)  Pericardial effusion 0/680 (0.00%)  Keratitis 1/680 (0.15%)  Double vision 1/680 (0.15%)  Colitis 1/680 (0.15%)Adverse Events 2:  Total: 86/688 (12.50%)  Hemoglobin 15/688 (2.18%)  Transfusion: Platelets 1/688 (0.15%)  Transfusion: pRBCs 1/688 (0.15%)  Febrile neutropenia 41/688 (5.96%)  Edema 0/688 (0.00%)  Ischemia/infarction 0/688 (0.00%)  Palpitations 1/688 (0.15%)  Pericardial effusion 1/688 (0.15%)  Keratitis 0/688 (0.00%)  Double vision 0/688 (0.00%)  Colitis 0/688 (0.00%)	
6895bc98-925e-43f4-971d-44ba45a57eee	Patients with aspartate aminotransferase more than 3 times the upper limit of normal are excluded from both NCT00834678 and NCT01593020.	Entailment	Exclusion Criteria:  AST or ALT > 2.5 times the upper limit of normal (ULN)	  ALT and AST  2.5 times ULN ( 5 times ULN in the presence of documented liver metastases)
0c6bed67-b9cb-43b7-b2e6-693e436407c1	Patients with aspartate aminotransferase more than 2 times the upper limit of normal are excluded from both NCT00834678 but eligible for NCT01593020.	Contradiction	Exclusion Criteria:  AST or ALT > 2.5 times the upper limit of normal (ULN)	  ALT and AST  2.5 times ULN ( 5 times ULN in the presence of documented liver metastases)
d54bf1dd-473e-4d7f-a730-efbba6082e37	Patients must have a white blood cell count above 1,500/mm³ to participate in NCT00834678.	Entailment	  WBC > 1,500/mm³	
f55c5be2-d62b-42ef-8699-7bc7df1cf9d8	Patients with lymphopenia can participate in NCT00834678.	Contradiction	  WBC > 1,500/mm³	
ca0b2201-75a7-4317-abd0-739edf7683ff	Stephanie has been living with her husband for 31 years, she is eligible for NCT02721147.	Entailment	Inclusion Criteria:  Has a partner or spouse who is > 21  Lives with a romantic partner > 6 months	
8743badd-98f4-474c-89b8-27b95f50f394	Stephanie has been living with her boyfriend for 2 months, she is eligible for NCT02721147.	Contradiction	Inclusion Criteria:  Has a partner or spouse who is > 21  Lives with a romantic partner > 6 months	
04801ab7-0f79-4038-a7ac-1a742f1eae09	Patients with both type 1 and 2 Diabetes are not suitable for NCT00723398.	Entailment	Exclusion Criteria:  Diabetes mellitus	
70d721ac-7c0a-4d60-915a-c995eb034f60	Patients with diabetes insipidusare not suitable for NCT00723398.	Contradiction	Inclusion Criteria:  Postmenopausal status defined as history of at least 12 months without spontaneous menstrual bleeding or a documented hysterectomy and bilateral salpingo oophorectomy  Breast density greater than 25%  No hormone replacement therapy for at least six months prior to entry into this study  Non-smokers.Exclusion Criteria:  History of stroke, pulmonary embolism or deep vein thrombosis  History of atherosclerotic heart disease  Presence of any known hypercoagulable state either congenital (e.g., protein S deficiency) or acquired (e.g., corticosteroid treatment)  Diabetes mellitus  Uncontrolled hypertension (BP 140/90)  Presence of a psychiatric condition that would interfere with adherence to the protocol.	
1c452f84-1ecd-4b9c-a364-d73e6c9e3a21	All cancer stages are accepted for NCT03190083.	Entailment	Inclusion Criteria:  New diagnosis of breast cancer  New diagnosis if a previous breast cancer patient with negative surgical margins  Patients willing to sign a written informed consent form	
797d5cce-bf83-439a-8757-c5188dc7c8e4	All cancer stages are accepted for NCT03190083 and NCT01805089.	Contradiction	Inclusion Criteria:  New diagnosis of breast cancer  New diagnosis if a previous breast cancer patient with negative surgical margins  Patients willing to sign a written informed consent form	Inclusion Criteria:  History of ductal carcinoma in situ, lobular carcinoma in situ or stages 1-3 breast cancer  Not currently receiving chemotherapy or hormonal therapy  Postmenopausal
70ffdfd8-6d81-4f14-8545-486a9c4963e0	Patients with Lactiferous duct carcinomas are eligible for NCT01805089.	Entailment	Inclusion Criteria:  History of ductal carcinoma in situ, lobular carcinoma in situ or stages 1-3 breast cancer	
d31e65f1-ad08-4329-979b-f04ca91a9b26	pre-menopausal patients with Lactiferous duct carcinomas are eligible for NCT01805089.	Contradiction	Inclusion Criteria:  History of ductal carcinoma in situ, lobular carcinoma in situ or stages 1-3 breast cancer  Postmenopausal	
6cafd542-8f9e-453e-a554-1b2d97d6d59e	Females over the age of 18, whose last period was 2 weeks prior are eligible for NCT01073865.	Entailment	Inclusion Criteria:  Female 20 years and pre-menopausal.Pre-menopausal defined as 1) last menses within 1 year of randomisation, and 2) E2 10 pg/mL and FSH  30 mIU/mL within 4 weeks of randomisation.	
3a508066-d9a9-4fa3-975d-214890f6c036	Females over the age of 18, whose last period was 2 years prior to randomisation are eligible for NCT01073865.	Contradiction	Inclusion Criteria:  Female 20 years and pre-menopausal.Pre-menopausal defined as 1) last menses within 1 year of randomisation, and 2) E2 10 pg/mL and FSH  30 mIU/mL within 4 weeks of randomisation.	
1a01b82e-a9ee-4621-bca1-cd796baffba7	patients with Multi-focal breast cancer cannot be accepted for NCT00945061.	Entailment	Inclusion Criteria:  Unifocal breast cancer recurrence	
5171d668-475c-4faa-91f8-9dc11e2c974b	patients with Multicentric breast cancer can be accepted for NCT00945061.	Contradiction	Inclusion Criteria:  Unifocal breast cancer recurrence	
1b6d752d-cbc9-4991-ad05-755a759d1686	Patients with tumors underexpressing HER2 are excluded from NCT00944047, but may be included in NCT00228943.	Entailment	Inclusion Criteria:  HER-2/neu 1+ or 2+ by immunohistochemistry	Inclusion Criteria:  At least 18 years of age  Willing and able to provide informed consent  Reporting daily hot flashes  Able to read, write, and speak English  Postmenopausal to limit sample variability (> 12 months amenorrhea)  Greater then 1 month but < 5 years post-treatment (surgery, radiation, chemotherapy) for non-metastatic breast cancer.  These criteria allow inclusion of women successfully treated for recurrent breast cancer since there is no known reason to exclude them. Menopausal status is assessed using self-reports due to problems in reliably measuring follicle-stimulating hormone levels and estradiol in tamoxifen users.Exclusion Criteria:  Exclusion criteria are current depression, history of migraines or hepatitis, abnormal chemistry profile (e.g., sodium, potassium, glucose), or a positive urine drug screen for illegal substances.
82679cc3-82d5-45bd-aed2-5d1ccb1d23f4	Patients with HER2 positive tumors are excluded from NCT00944047, but may be included in NCT00228943.	Contradiction	Inclusion Criteria:  HER-2/neu 1+ or 2+ by immunohistochemistry	Inclusion Criteria:  At least 18 years of age  Willing and able to provide informed consent  Reporting daily hot flashes  Able to read, write, and speak English  Postmenopausal to limit sample variability (> 12 months amenorrhea)  Greater then 1 month but < 5 years post-treatment (surgery, radiation, chemotherapy) for non-metastatic breast cancer.  These criteria allow inclusion of women successfully treated for recurrent breast cancer since there is no known reason to exclude them. Menopausal status is assessed using self-reports due to problems in reliably measuring follicle-stimulating hormone levels and estradiol in tamoxifen users.Exclusion Criteria:  Exclusion criteria are current depression, history of migraines or hepatitis, abnormal chemistry profile (e.g., sodium, potassium, glucose), or a positive urine drug screen for illegal substances.
0774e93f-a750-4dbd-9677-6454d196ee99	Clinically depressed patients are not able to participate in NCT00228943.	Entailment	Exclusion Criteria:  Exclusion criteria are current depression, history of migraines or hepatitis, abnormal chemistry profile (e.g., sodium, potassium, glucose), or a positive urine drug screen for illegal substances.	
99c31581-542a-4409-872c-5647bb345d57	Clinically anxious patients are not able to participate in NCT00228943.	Contradiction	Exclusion Criteria:  Exclusion criteria are current depression, history of migraines or hepatitis, abnormal chemistry profile (e.g., sodium, potassium, glucose), or a positive urine drug screen for illegal substances.	
95ddd9a3-84af-418a-aff1-a8e971733923	Patients must have cancer that can be felt by touch to be eligible for NCT02550210.	Entailment	Inclusion Criteria:  Histologic diagnosis of palpable invasive breast cancer or ductal carcinoma in situ	
7d21b575-aeda-443e-aa33-d789db2e8d80	Patients must have ductal carcinoma, that can be felt by touch to be eligible for NCT02550210.	Contradiction	Inclusion Criteria:  Histologic diagnosis of palpable invasive breast cancer or ductal carcinoma in situ	
0341f9f7-b143-4422-abf2-9f9f6bb44391	One case of hematolysis was recorded in NCT00265759, none in NCT00866905.	Entailment	Adverse Events 1:  Total: 9/157 (5.73%)  Blood disorder 1/157 (0.64%)  Hemoglobin decreased 1/157 (0.64%)  Hemolysis 0/157 (0.00%)  Arrhythmia 0/157 (0.00%)  Cardiac disorder 0/157 (0.00%)  Myocardial ischemia 1/157 (0.64%)  Hearing impaired 0/157 (0.00%)  Tinnitus 0/157 (0.00%)  Cataract 0/157 (0.00%)  Diplopia 0/157 (0.00%)  Glaucoma 0/157 (0.00%)  Vision blurred 0/157 (0.00%)Adverse Events 2:  Total: 14/157 (8.92%)  Blood disorder 0/157 (0.00%)  Hemoglobin decreased 2/157 (1.27%)  Hemolysis 1/157 (0.64%)  Arrhythmia 0/157 (0.00%)  Cardiac disorder 0/157 (0.00%)  Myocardial ischemia 0/157 (0.00%)  Hearing impaired 2/157 (1.27%)  Tinnitus 1/157 (0.64%)  Cataract 1/157 (0.64%)  Diplopia 0/157 (0.00%)  Glaucoma 1/157 (0.64%)  Vision blurred 1/157 (0.64%)	Adverse Events 1:  Total: 6/168 (3.57%)  FEBRILE NEUTROPENIA 3/168 (1.79%)  ENTERITIS 1/168 (0.60%)  PERIPHERAL NEUROPATHY 2/168 (1.19%)  DEPRESSION 1/168 (0.60%)
816a31f1-a74d-4291-a74f-094ed49d9ac8	2 cases of hematolysis were recorded in NCT00265759, none in NCT00866905.	Contradiction	Adverse Events 1:  Total: 9/157 (5.73%)  Blood disorder 1/157 (0.64%)  Hemoglobin decreased 1/157 (0.64%)  Hemolysis 0/157 (0.00%)  Arrhythmia 0/157 (0.00%)  Cardiac disorder 0/157 (0.00%)  Myocardial ischemia 1/157 (0.64%)  Hearing impaired 0/157 (0.00%)  Tinnitus 0/157 (0.00%)  Cataract 0/157 (0.00%)  Diplopia 0/157 (0.00%)  Glaucoma 0/157 (0.00%)  Vision blurred 0/157 (0.00%)Adverse Events 2:  Total: 14/157 (8.92%)  Blood disorder 0/157 (0.00%)  Hemoglobin decreased 2/157 (1.27%)  Hemolysis 1/157 (0.64%)  Arrhythmia 0/157 (0.00%)  Cardiac disorder 0/157 (0.00%)  Myocardial ischemia 0/157 (0.00%)  Hearing impaired 2/157 (1.27%)  Tinnitus 1/157 (0.64%)  Cataract 1/157 (0.64%)  Diplopia 0/157 (0.00%)  Glaucoma 1/157 (0.64%)  Vision blurred 1/157 (0.64%)	Adverse Events 1:  Total: 6/168 (3.57%)  FEBRILE NEUTROPENIA 3/168 (1.79%)  ENTERITIS 1/168 (0.60%)  PERIPHERAL NEUROPATHY 2/168 (1.19%)  DEPRESSION 1/168 (0.60%)
84f54029-ce4f-451f-ac13-fba93acfe80c	Less than 1% of patients in NCT00866905 became depressed.	Entailment	Adverse Events 1:  DEPRESSION 1/168 (0.60%)	
48e2cf3f-10ac-4b83-a963-2ff4aec792c5	Less than 2% of patients in NCT00866905 experienced an adverse event.	Contradiction	Adverse Events 1:  Total: 6/168 (3.57%)	
2266c345-b7d8-4ae5-8ff4-d9f4ee2fa07a	patients with Phosphoinositide 3-kinase inhibitor based treatments are ineligible for NCT01790932	Entailment	Exclusion Criteria:  Have received previous treatment with PI3K inhibitors	
a42ab7aa-82c7-4597-8dad-65ac13dbe440	patients with Phosphoinositide 3-kinase inhibitor based treatments are eligible for NCT01790932, if this treatment ended over 5 years prior.	Contradiction	Exclusion Criteria:  Have received previous treatment with PI3K inhibitors	
449b4226-c0b8-4cdb-a52c-e8ada9fedff4	Fiona's sister, who is 34 years old was diagnosed with a ductal carcinoma, therefore fiona may be eligible for NCT01252277.	Entailment	Inclusion Criteria  A first degree relative with breast cancer under the age of 60 or multiple second degree relatives with breast cancer.	
05d5483d-2951-4f61-bb66-5c3a066e0642	Fiona's step sister, who is 34 years old was diagnosed with a ductal carcinoma, therefore fiona may be eligible for NCT01252277.	Contradiction	Inclusion Criteria  A first degree relative with breast cancer under the age of 60 or multiple second degree relatives with breast cancer.	
